Date,Start/Stop,Total,Action,Session
01/17/22,18:08:38,0.0,,
01/17/22,18:28:17,0.0,,
01/17/22,18:28:23,0:00:03,,
,17:06:40,0:00:05,,
,17:06:45,,,
,17:22:19,,,
,17:22:24,,,
,17:27:55,,,
,17:28:09,,,
,17:28:10,,,
,17:28:10,,,
,17:28:11,,,
,17:28:12,,,
,17:32:07,,,
,17:32:07,,,
,17:32:08,,,
,17:32:09,,,
,17:32:09,,,
,17:39:51,,,
,17:41:12,,,
,17:41:13,,,
,17:41:58,,,
,17:41:59,,,
,17:46:51,,,
,17:56:40,,,
,17:56:42,,,
,17:58:58,,,
,17:59:00,,,
,17:59:02,,,
,17:59:57,,,
,18:04:09,,,
,18:04:26,,,
,18:05:22,,,
,18:05:23,,,
,18:05:44,,,
,18:05:46,,,
,18:06:29,,,
,18:06:29,,,
,18:06:33,,,
,18:06:39,,,
,18:11:40,0:00:03,,
,18:11:43,,,
,18:11:45,,,
,18:13:16,0:00:01,,
,18:13:17,0:00:04,,
,18:13:21,0:00:05,,
,18:13:25,,,
,18:13:27,,,
,18:13:32,,,
,18:16:57,,,
,18:17:02,,,
,18:17:04,,,
,18:17:09,,,
,18:18:20,,,
,18:18:25,,,
,18:18:29,,,
,18:18:32,,,
,18:20:47,,,
,18:20:51,0:00:04,,
01/24/22,18:24:32,,,
01/24/22,18:24:36,0:00:04,,
01/24/22,18:24:38,,,
01/24/22,18:24:42,0:00:04,,
01/25/22,17:28:58,,,
01/25/22,17:29:09,,,
01/25/22,17:29:11,0:00:02,,
01/25/22,17:29:14,,,
01/25/22,17:29:19,0:00:05,,
01/25/22,17:29:23,,,
01/25/22,17:29:28,0:00:05,,
01/25/22,20:48:18,,,
01/25/22,20:49:13,,,
01/25/22,20:50:28,,,
01/25/22,20:50:29,0:00:01,,
01/25/22,20:50:35,,,
01/25/22,20:50:41,0:00:06,,
01/25/22,20:51:17,,,
01/25/22,20:51:24,0:00:07,,
01/25/22,20:53:10,,,
01/25/22,20:53:32,0:00:22,,
01/25/22,20:59:03,,,
01/25/22,20:59:24,,,
01/25/22,20:59:36,0:00:12,,
01/25/22,21:02:49,,,
01/26/22,08:12:14,,,
01/26/22,08:12:22,0:00:08,,
01/26/22,12:06:49,,,
01/26/22,12:07:13,0:00:24,,
01/26/22,12:07:20,,,
01/26/22,12:07:33,0:00:13,,
01/26/22,12:15:07,,,
01/26/22,12:17:01,0:01:54,,
01/26/22,12:54:16,,,
01/26/22,12:54:21,0:00:05,,
01/26/22,12:55:27,,,
01/26/22,12:56:15,,,
01/26/22,12:56:26,0:00:11,,
01/26/22,12:57:41,,,
01/26/22,12:57:48,0:00:07,,
01/26/22,12:57:56,,,
01/26/22,12:58:05,0:00:09,,
01/26/22,12:58:30,,,
01/26/22,12:58:32,0:00:02,,
01/26/22,12:59:51,,,
01/26/22,12:59:59,0:00:08,,
01/26/22,13:00:06,,,
01/26/22,13:00:15,0:00:09,,
01/26/22,13:01:06,,,
01/26/22,13:01:12,0:00:06,,
01/26/22,13:01:18,,,
01/26/22,13:01:23,0:00:05,,
01/26/22,13:04:37,,,
01/26/22,13:07:35,,,
01/26/22,13:10:29,,,
01/26/22,13:10:39,0:00:10,,
01/26/22,13:19:32,,,
01/26/22,13:54:22,,,
01/26/22,13:54:29,,,
01/26/22,13:54:36,,,
01/27/22,09:14:51,,,
01/27/22,09:15:02,0:00:11,,
01/27/22,09:15:18,,,
01/27/22,09:15:26,0:00:08,,
01/27/22,09:16:03,,,
01/27/22,09:16:10,0:00:07,,
02/21/22,09:45:01,,,
02/21/22,09:45:04,0:00:03,,
02/21/22,09:45:09,,,
02/21/22,09:45:11,0:00:02,,
02/21/22,09:45:43,,,
02/21/22,09:45:48,0:00:05,,
05/17/22,11:33:39,,,
05/17/22,11:33:40,0:00:01,,
05/17/22,11:33:41,,,
05/17/22,12:01:44,,,
05/17/22,12:01:56,0:00:12,,
05/17/22,12:02:13,,,
05/17/22,12:04:05,0:01:52,,
05/17/22,12:04:14,,,
05/17/22,12:04:17,0:00:03,,
